s,a,t,e,e,a,t,
e,h,a,n,p,u,o,
r,t,y,i,s,t,f,
u,r,g,t,s,e,h,
i,i,e,h,r,i,t,
b,e,n,t,d,e,r,
a,e,i,a,a,h,o,
i,s,e,b,u,l,c,
l,o,h,e,d,r,n,
t,i,t,k,e,d,i,
y,n,o,l,e,a,m,
t,s,w,s,h,e,c,
a,r,d,n,t,r,g,
o,d,l,a,t,e,f,
p,n,r,n,m,h,n,
a,a,f,a,e,t,o,
d,o,o,h,r,s,r,
o,m,p,t,o,t,e,
t,i,i,d,o,a,c,
p,e,d,r,p,w,n,
r,r,o,e,o,t,e,
u,p,l,a,t,i,i,
a,m,c,w,r,u,e,
l,t,a,e,t,o,o,
s,r,m,a,n,b,c,
s,o,a,s,p,d,n,
n,n,y,a,e,l,s,
c,a,i,e,h,b,n,
e,y,d,r,o,e,n,
c,l,n,r,r,t,a,
e,t,m,l,e,t,t,
r,h,a,k,e,e,i,
i,t,e,s,c,r,t,
y,t,l,i,i,e,p,
v,y,p,h,d,t,o,
e,e,s,t,s,o,n,
s,k,a,t,g,n,l,
r,a,t,t,n,o,e,
